CompositeDepth,TOC_mg_g,DBD_min,DBD_max,DBD_mean,CoreID
189.0,4.4,0.5090785652328788,0.7325805068276762,0.5837389140489778,CON01-603-5
191.0,4.2,0.5092525290288993,0.7073486498512427,0.586597333593364,CON01-603-5
193.0,4.4,0.5094256974602922,0.7134576090672234,0.5874224686680724,CON01-603-5
195.0,5.0,0.509221773140995,0.732715320547944,0.5865967211995097,CON01-603-5
197.0,4.2,0.5120413164947046,0.7454725303055929,0.5900696826273432,CON01-603-5
199.0,6.2,0.5096855602230416,0.7204696613678101,0.5865472852542165,CON01-603-5
201.0,5.8,0.5102947771581223,0.7218409928619792,0.5897711192532854,CON01-603-5
203.0,6.0,0.5135441152947451,0.7232673512884313,0.589408215194731,CON01-603-5
205.0,6.1,0.514343384456793,0.7338288724426513,0.5909722701288326,CON01-603-5
207.0,6.8,0.5144634439359519,0.7203476436806896,0.5906761405482858,CON01-603-5
209.0,6.5,0.5162165021388991,0.7295849072546856,0.5935648283230155,CON01-603-5
211.0,7.2,0.51655831335838,0.7218022994239097,0.5931120356012769,CON01-603-5
213.0,4.6,0.520964667324919,0.7670417369011314,0.6003661365945466,CON01-603-5
215.0,4.9,0.5219524873636767,0.726796845679532,0.6008083164992226,CON01-603-5
217.0,5.5,0.5217672730096893,0.765552290909713,0.600264626699705,CON01-603-5
219.0,5.1,0.5242243299420477,0.7463659795720788,0.6030217291297089,CON01-603-5
221.0,5.1,0.5263806914435606,0.7474532044280889,0.6042443072957353,CON01-603-5
223.0,5.5,0.5264909371199024,0.7433938401763814,0.6052054435292763,CON01-603-5
225.0,3.4,0.5331959229881946,0.7379204041784332,0.6114238152333873,CON01-603-5
227.0,3.4,0.5331160299689196,0.7573079437725165,0.6128730809745818,CON01-603-5
229.0,3.8,0.5324016337385553,0.74990702719285,0.6137041899298893,CON01-603-5
231.0,4.1,0.535303333526878,0.7358814741765122,0.6148752263002255,CON01-603-5
233.0,4.7,0.5341632560174373,0.7559241934427803,0.614163242162186,CON01-603-5
235.0,4.3,0.5379196688771698,0.7368966649230463,0.6173071181938456,CON01-603-5
237.0,4.6,0.5375133541082076,0.7461378555477953,0.6175756414351635,CON01-603-5
239.0,5.8,0.5355368804006896,0.7604009506825808,0.6149067983469712,CON01-603-5
