CoreID,CompositeDepth,TOC_percent,TOC_mg_g
PG1341,1589,0.07,0.7
PG1341,1605,0.07,0.7
PG1341,1621,0.06,0.6
PG1341,1637,0.07,0.7
PG1341,1653,0.08,0.8
PG1341,1669,0.06,0.6
PG1341,1685,0.04,0.4
PG1341,1701,0.05,0.5
PG1341,1711,0.16,1.6
PG1341,1717,0.08,0.8
PG1341,1727,0.05,0.5
PG1341,1733,0.08,0.8
PG1341,1743,0.07,0.7
PG1341,1749,0.07,0.7
PG1341,1759,0.05,0.5
PG1341,1775,0.09,0.9
PG1341,1791,0.09,0.9
PG1341,1807,0.09,0.9
PG1341,1823,0.07,0.7
PG1341,1839,0.08,0.8
PG1341,1855,0.09,0.9
PG1341,1883,0.06,0.6
PG1351,1,1.03,10.3
PG1351,3,0.93,9.3
PG1351,5,0.82,8.2
PG1351,7,0.73,7.3
PG1351,8,0.77,7.7
PG1351,10,0.69,6.9
PG1351,12,0.6,6
PG1351,14,0.51,5.1
PG1351,16,0.45,4.5
PG1351,18,0.39,3.9
PG1351,20,0.35,3.5
PG1351,22,0.25,2.5
PG1351,24,0.22,2.2
PG1351,26,0.35,3.5
PG1351,28,0.49,4.9
PG1351,30,0.6,6
PG1351,32,0.57,5.7
PG1351,34,0.42,4.2
PG1351,36,0.32,3.2
PG1351,38,0.28,2.8
PG1351,40,0.25,2.5
PG1351,42,0.25,2.5
PG1351,44,0.33,3.3
PG1351,46,0.37,3.7
PG1351,48,0.42,4.2
PG1351,50,0.37,3.7
PG1351,52,0.31,3.1
PG1351,54,0.34,3.4
PG1351,56,0.36,3.6
PG1351,57.5,0.34,3.4
PG1351,59,0.31,3.1
PG1351,61,0.31,3.1
PG1351,63,0.37,3.7
PG1351,65,0.34,3.4
PG1351,67,0.34,3.4
PG1351,69,0.29,2.9
PG1351,71,0.26,2.6
PG1351,73,0.26,2.6
PG1351,75,0.29,2.9
PG1351,77,0.31,3.1
PG1351,79,0.32,3.2
PG1351,81,0.41,4.1
PG1351,83,0.43,4.3
PG1351,87,0.36,3.6
PG1351,91,0.2,2
PG1351,95,0.26,2.6
PG1351,99,0.27,2.7
PG1351,103,0.34,3.4
PG1351,107,0.31,3.1
PG1351,111,0.57,5.7
PG1351,115,1.34,13.4
PG1351,119,1.82,18.2
PG1351,123,1.77,17.7
PG1351,127,1.25,12.5
PG1351,131,1.63,16.3
PG1351,135,2.1,21
PG1351,139,1.88,18.8
PG1351,143,2.2,22
PG1351,147,2.51,25.1
PG1351,151,1.94,19.4
PG1351,155,0.72,7.2
PG1351,159,0.57,5.7
PG1351,163,0.41,4.1
PG1351,167,0.35,3.5
PG1351,171,0.29,2.9
PG1351,175,0.35,3.5
PG1351,179,0.24,2.4
PG1351,183,0.3,3
PG1351,187,0.25,2.5
PG1351,191,0.29,2.9
PG1351,195,0.3,3
PG1351,199,0.34,3.4
PG1351,203,0.43,4.3
PG1351,207,0.39,3.9
PG1351,211,0.39,3.9
PG1351,215,0.36,3.6
PG1351,219,0.28,2.8
PG1351,223,0.24,2.4
PG1351,227,0.24,2.4
PG1351,231,0.26,2.6
PG1351,235,0.26,2.6
PG1351,239,0.19,1.9
PG1351,241,0.18,1.8
PG1351,245,0.22,2.2
PG1351,249,0.19,1.9
PG1351,253,0.23,2.3
PG1351,257,0.21,2.1
PG1351,261,0.25,2.5
PG1351,265,0.22,2.2
PG1351,269,0.27,2.7
PG1351,273,0.28,2.8
PG1351,277,0.31,3.1
PG1351,281,0.87,8.7
PG1351,285,0.8,8
PG1351,289,0.85,8.5
PG1351,293,1.06,10.6
PG1351,297,1,10
PG1351,301,1.03,10.3
PG1351,305,0.98,9.8
PG1351,309,1.08,10.8
PG1351,313,0.82,8.2
PG1351,317,0.96,9.6
PG1351,321,0.42,4.2
PG1351,325,1.91,19.1
PG1351,329,0.67,6.7
PG1351,333,1.32,13.2
PG1351,337,1.19,11.9
PG1351,341,0.39,3.9
PG1351,345,0.31,3.1
PG1351,349,0.27,2.7
PG1351,353,0.26,2.6
PG1351,357,0.22,2.2
PG1351,361,0.21,2.1
PG1351,365,0.22,2.2
PG1351,369,0.27,2.7
PG1351,373,0.3,3
PG1351,377,0.31,3.1
PG1351,381,0.25,2.5
PG1351,385,0.12,1.2
PG1351,389,0.08,0.8
PG1351,393,0.13,1.3
PG1351,397,0.26,2.6
PG1351,401,0.31,3.1
PG1351,405,0.38,3.8
PG1351,409,0.72,7.2
PG1351,413,0.34,3.4
PG1351,417,0.25,2.5
PG1351,421,0.22,2.2
PG1351,425,0.21,2.1
PG1351,429,0.17,1.7
PG1351,433,0.17,1.7
PG1351,437,0.18,1.8
PG1351,441,0.19,1.9
PG1351,445,0.18,1.8
PG1351,449,0.17,1.7
PG1351,453,0.18,1.8
PG1351,459,0.18,1.8
PG1351,472,0.34,3.4
PG1351,476,0.75,7.5
PG1351,480,1.07,10.7
PG1351,480.4,1.57,15.7
PG1351,488,1.72,17.2
PG1351,492,0.7,7
PG1351,496,0.45,4.5
PG1351,500,0.4,4
PG1351,504,0.37,3.7
PG1351,508,0.46,4.6
PG1351,512,0.39,3.9
PG1351,516,0.49,4.9
PG1351,520,0.65,6.5
PG1351,524,1,10
PG1351,528,1.03,10.3
PG1351,532,1.17,11.7
PG1351,536,0.94,9.4
PG1351,540,0.89,8.9
PG1351,544,0.89,8.9
PG1351,548,0.84,8.4
PG1351,552,0.85,8.5
PG1351,556,0.74,7.4
PG1351,560,0.73,7.3
PG1351,564,0.66,6.6
PG1351,568,0.52,5.2
PG1351,572,0.64,6.4
PG1351,576,0.61,6.1
PG1351,580,0.66,6.6
PG1351,584,0.68,6.8
PG1351,588,0.44,4.4
PG1351,592,0.32,3.2
PG1351,596,0.27,2.7
PG1351,600,0.26,2.6
PG1351,604,0.27,2.7
PG1351,608,0.24,2.4
PG1351,612,0.16,1.6
PG1351,616,0.21,2.1
PG1351,620,0.35,3.5
PG1351,624,0.47,4.7
PG1351,628,1.43,14.3
PG1351,632,1.66,16.6
PG1351,636,1.21,12.1
PG1351,640,1.33,13.3
PG1351,644,0.86,8.6
PG1351,648,1.29,12.9
PG1351,652,0.63,6.3
PG1351,656,0.5,5
PG1351,660,0.38,3.8
PG1351,664,0.33,3.3
PG1351,668,0.33,3.3
PG1351,672,0.33,3.3
PG1351,676,0.31,3.1
PG1351,694,0.98,9.8
PG1351,698,0.85,8.5
PG1351,702,0.86,8.6
PG1351,704,0.99,9.9
PG1351,708,0.52,5.2
PG1351,712,1.41,14.1
PG1351,716,1.56,15.6
PG1351,720,1.07,10.7
PG1351,724,0.64,6.4
PG1351,728,0.3,3
PG1351,732,0.25,2.5
PG1351,736,0.3,3
PG1351,740,0.21,2.1
PG1351,744,0.21,2.1
PG1351,748,0.19,1.9
PG1351,752,0.29,2.9
PG1351,756,0.35,3.5
PG1351,760,0.29,2.9
PG1351,764,0.22,2.2
PG1351,768,0.21,2.1
PG1351,772,0.2,2
PG1351,776,0.3,3
PG1351,780,0.26,2.6
PG1351,784,0.28,2.8
PG1351,788,0.31,3.1
PG1351,792,0.34,3.4
PG1351,796,0.32,3.2
PG1351,800,0.43,4.3
PG1351,804,0.55,5.5
PG1351,808,0.62,6.2
PG1351,812,0.63,6.3
PG1351,816,0.41,4.1
PG1351,820,0.32,3.2
PG1351,824,0.35,3.5
PG1351,828,0.31,3.1
PG1351,832,0.48,4.8
PG1351,836,0.53,5.3
PG1351,840,0.59,5.9
PG1351,844,0.57,5.7
PG1351,848,0.63,6.3
PG1351,852,0.72,7.2
PG1351,856,0.64,6.4
PG1351,860,0.66,6.6
PG1351,864,0.56,5.6
PG1351,868,0.68,6.8
PG1351,872,0.57,5.7
PG1351,876,0.74,7.4
PG1351,877.5,0.63,6.3
PG1351,894,0.74,7.4
PG1351,896,0.61,6.1
PG1351,897,1.01,10.1
PG1351,913,0.29,2.9
PG1351,917,0.2,2
PG1351,921,0.34,3.4
PG1351,925,0.3,3
PG1351,929,0.29,2.9
PG1351,933,0.38,3.8
PG1351,937,0.24,2.4
PG1351,941,0.2,2
PG1351,945,0.17,1.7
PG1351,949,0.18,1.8
PG1351,953,0.19,1.9
PG1351,957,0.2,2
PG1351,961,0.22,2.2
PG1351,965,0.23,2.3
PG1351,969,0.23,2.3
PG1351,973,0.18,1.8
PG1351,977,0.22,2.2
PG1351,981,0.24,2.4
PG1351,985,0.25,2.5
PG1351,989,0.27,2.7
PG1351,993,0.2,2
PG1351,997,0.27,2.7
PG1351,1001,0.45,4.5
PG1351,1005,0.25,2.5
PG1351,1009,0.19,1.9
PG1351,1013,0.23,2.3
PG1351,1017,0.16,1.6
PG1351,1021,0.15,1.5
PG1351,1025,0.16,1.6
PG1351,1029,0.21,2.1
PG1351,1033,0.29,2.9
PG1351,1037,0.25,2.5
PG1351,1041,0.22,2.2
PG1351,1045,0.2,2
PG1351,1049,0.22,2.2
PG1351,1053,0.17,1.7
PG1351,1057,0.37,3.7
PG1351,1061,0.28,2.8
PG1351,1065,0.24,2.4
PG1351,1069,0.18,1.8
PG1351,1073,0.25,2.5
PG1351,1077,0.26,2.6
PG1351,1079,0.3,3
PG1351,1083,0.56,5.6
PG1351,1085,0.59,5.9
PG1351,1089,0.55,5.5
PG1351,1093,0.5,5
PG1351,1097,0.55,5.5
PG1351,1101,0.45,4.5
PG1351,1105,0.48,4.8
PG1351,1108,0.56,5.6
PG1351,1112,0.66,6.6
PG1351,1116,0.85,8.5
PG1351,1120,0.71,7.1
PG1351,1124,0.7,7
PG1351,1128,0.74,7.4
PG1351,1132,0.69,6.9
PG1351,1136,0.68,6.8
PG1351,1140,0.68,6.8
PG1351,1144,0.79,7.9
PG1351,1148,0.82,8.2
PG1351,1152,1.66,16.6
PG1351,1156,0.43,4.3
PG1351,1160,0.3,3
PG1351,1164,0.26,2.6
PG1351,1168,0.22,2.2
PG1351,1172,0.23,2.3
PG1351,1176,0.39,3.9
PG1351,1180,0.28,2.8
PG1351,1184,0.22,2.2
PG1351,1188,0.16,1.6
PG1351,1192,0.16,1.6
PG1351,1196,0.15,1.5
PG1351,1200,0.19,1.9
PG1351,1204,0.25,2.5
PG1351,1208,0.23,2.3
PG1351,1212,0.37,3.7
PG1351,1216,0.26,2.6
PG1351,1220,0.23,2.3
PG1351,1224,0.23,2.3
