measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 238,8209,8159,7223,7599,8672,8942,Undatable,Yes
EN18218 239,8298,8228,7260,7661,8725,8978,Undatable,Yes
EN18218 240,8388,8297,7295,7724,8779,9011,Undatable,Yes
EN18218 241,8479,8368,7330,7789,8830,9047,Undatable,Yes
EN18218 242,8569,8439,7366,7852,8884,9084,Undatable,Yes
EN18218 243,8663,8510,7400,7915,8942,9123,Undatable,Yes
EN18218 244,8757,8582,7436,7976,9000,9163,Undatable,Yes
EN18218 245,8850,8653,7469,8033,9059,9206,Undatable,Yes
EN18218 246,8942,8724,7508,8088,9121,9254,Undatable,Yes
EN18218 247,9032,8796,7543,8145,9193,9299,Undatable,Yes
EN18218 248,9117,8867,7581,8201,9271,9356,Undatable,Yes
EN18218 249,9180,8927,7624,8257,9335,9410,Undatable,Yes
EN18218 250,9197,8951,7663,8312,9347,9420,Undatable,Yes
EN18218 251,9214,8975,7702,8367,9358,9430,Undatable,Yes
EN18218 252,9231,9000,7745,8421,9370,9441,Undatable,Yes
EN18218 253,9248,9025,7789,8476,9381,9456,Undatable,Yes
EN18218 254,9263,9050,7843,8529,9392,9473,Undatable,Yes
EN18218 255,9278,9075,7893,8584,9402,9492,Undatable,Yes
EN18218 256,9293,9100,7942,8637,9412,9510,Undatable,Yes
EN18218 257,9307,9124,7997,8692,9421,9530,Undatable,Yes
EN18218 258,9321,9149,8039,8746,9430,9549,Undatable,Yes
EN18218 259,9334,9174,8085,8802,9439,9570,Undatable,Yes
EN18218 260,9347,9198,8132,8858,9447,9591,Undatable,Yes
EN18218 261,9359,9223,8181,8915,9456,9615,Undatable,Yes
EN18218 262,9372,9247,8228,8969,9467,9638,Undatable,Yes
EN18218 263,9384,9272,8282,9023,9477,9658,Undatable,Yes
EN18218 264,9396,9298,8327,9079,9487,9681,Undatable,Yes
EN18218 265,9408,9323,8374,9137,9496,9702,Undatable,Yes
EN18218 266,9421,9348,8423,9194,9506,9722,Undatable,Yes
EN18218 267,9434,9373,8478,9253,9519,9744,Undatable,Yes
EN18218 268,9446,9399,8529,9310,9535,9763,Undatable,Yes
EN18218 269,9460,9424,8574,9361,9551,9781,Undatable,Yes
EN18218 270,9478,9449,8636,9414,9566,9800,Undatable,Yes
EN18218 271,9502,9474,8688,9442,9581,9818,Undatable,Yes
EN18218 272,9527,9499,8744,9466,9600,9836,Undatable,Yes
EN18218 273,9550,9523,8793,9487,9626,9853,Undatable,Yes
EN18218 274,9573,9548,8846,9506,9655,9870,Undatable,Yes
EN18218 275,9595,9573,8901,9527,9684,9887,Undatable,Yes
EN18218 276,9618,9598,8946,9544,9715,9903,Undatable,Yes
EN18218 277,9641,9623,9000,9563,9745,9922,Undatable,Yes
EN18218 278,9664,9647,9052,9580,9772,9940,Undatable,Yes
EN18218 279,9686,9672,9104,9598,9799,9960,Undatable,Yes
EN18218 280,9709,9696,9160,9615,9825,9975,Undatable,Yes
EN18218 281,9731,9719,9220,9632,9850,9999,Undatable,Yes
EN18218 282,9754,9742,9277,9650,9873,10020,Undatable,Yes
EN18218 283,9776,9765,9334,9668,9896,10047,Undatable,Yes
EN18218 284,9798,9789,9385,9687,9919,10070,Undatable,Yes
EN18218 285,9821,9813,9440,9708,9941,10098,Undatable,Yes
EN18218 286,9844,9837,9485,9729,9964,10119,Undatable,Yes
EN18218 287,9868,9862,9535,9752,9986,10146,Undatable,Yes
EN18218 288,9892,9887,9575,9776,10010,10165,Undatable,Yes
EN18218 289,9917,9911,9614,9801,10035,10186,Undatable,Yes
EN18218 290,9941,9936,9650,9825,10060,10215,Undatable,Yes
EN18218 291,9966,9961,9675,9850,10087,10236,Undatable,Yes
EN18218 292,9991,9985,9699,9874,10114,10259,Undatable,Yes
EN18218 293,10016,10010,9717,9896,10142,10282,Undatable,Yes
EN18218 294,10038,10033,9733,9919,10162,10299,Undatable,Yes
EN18218 295,10060,10054,9755,9939,10181,10324,Undatable,Yes
EN18218 296,10082,10076,9775,9961,10198,10351,Undatable,Yes
EN18218 297,10103,10098,9789,9983,10217,10389,Undatable,Yes
EN18218 298,10124,10120,9809,10003,10235,10423,Undatable,Yes
EN18218 299,10145,10143,9832,10024,10255,10465,Undatable,Yes
EN18218 300,10165,10165,9852,10044,10276,10508,Undatable,Yes
EN18218 301,10184,10187,9875,10065,10296,10552,Undatable,Yes
EN18218 302,10204,10208,9901,10085,10316,10595,Undatable,Yes
EN18218 303,10223,10230,9926,10105,10337,10641,Undatable,Yes
EN18218 304,10240,10251,9952,10125,10357,10691,Undatable,Yes
EN18218 305,10257,10272,9982,10145,10377,10733,Undatable,Yes
EN18218 306,10274,10293,10009,10165,10395,10786,Undatable,Yes
EN18218 307,10293,10314,10036,10185,10414,10838,Undatable,Yes
EN18218 308,10311,10335,10061,10205,10433,10896,Undatable,Yes
EN18218 309,10330,10357,10085,10226,10451,10946,Undatable,Yes
EN18218 310,10350,10379,10113,10245,10470,10997,Undatable,Yes
EN18218 311,10369,10401,10142,10265,10490,11046,Undatable,Yes
EN18218 312,10390,10423,10170,10284,10510,11096,Undatable,Yes
EN18218 313,10411,10445,10198,10303,10529,11145,Undatable,Yes
EN18218 314,10431,10467,10222,10321,10550,11197,Undatable,Yes
EN18218 315,10453,10489,10245,10341,10574,11244,Undatable,Yes
EN18218 316,10475,10511,10266,10360,10599,11290,Undatable,Yes
EN18218 317,10499,10535,10285,10382,10621,11337,Undatable,Yes
EN18218 318,10527,10565,10312,10412,10647,11382,Undatable,Yes
EN18218 319,10555,10596,10336,10441,10682,11427,Undatable,Yes
EN18218 320,10582,10627,10354,10468,10722,11474,Undatable,Yes
EN18218 321,10608,10658,10375,10493,10767,11521,Undatable,Yes
EN18218 322,10633,10689,10397,10515,10814,11562,Undatable,Yes
EN18218 323,10659,10719,10418,10537,10861,11601,Undatable,Yes
EN18218 324,10684,10750,10441,10558,10911,11644,Undatable,Yes
EN18218 325,10706,10780,10463,10579,10962,11684,Undatable,Yes
EN18218 326,10729,10810,10485,10598,11015,11729,Undatable,Yes
EN18218 327,10751,10839,10506,10617,11068,11771,Undatable,Yes
EN18218 328,10772,10868,10529,10635,11121,11806,Undatable,Yes
EN18218 329,10794,10898,10551,10653,11175,11848,Undatable,Yes
EN18218 330,10816,10927,10573,10673,11228,11892,Undatable,Yes
EN18218 331,10839,10957,10599,10692,11280,11939,Undatable,Yes
EN18218 332,10862,10987,10622,10711,11335,11977,Undatable,Yes
EN18218 333,10886,11017,10646,10730,11390,12023,Undatable,Yes
EN18218 334,10911,11047,10668,10750,11445,12073,Undatable,Yes
EN18218 335,10937,11078,10691,10768,11500,12110,Undatable,Yes
EN18218 336,10962,11108,10711,10787,11556,12145,Undatable,Yes
EN18218 337,10987,11138,10729,10805,11611,12187,Undatable,Yes
EN18218 338,11013,11167,10745,10823,11665,12226,Undatable,Yes
EN18218 339,11051,11207,10778,10857,11716,12261,Undatable,Yes
EN18218 340,11128,11275,10849,10939,11770,12294,Undatable,Yes
EN18218 341,11205,11344,10906,11016,11821,12331,Undatable,Yes
EN18218 342,11282,11412,10959,11088,11874,12367,Undatable,Yes
EN18218 343,11361,11481,11008,11156,11927,12400,Undatable,Yes
EN18218 344,11441,11549,11055,11219,11984,12430,Undatable,Yes
EN18218 345,11521,11618,11101,11282,12047,12462,Undatable,Yes
EN18218 346,11603,11686,11145,11341,12110,12494,Undatable,Yes
