measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 363,12987,12983,12843,12941,13031,13104,Bchron,Yes
EN18218 364,13017,13016,12872,12971,13060,13161,Bchron,Yes
EN18218 365,13042,13043,12898,12997,13083,13210,Bchron,Yes
EN18218 366,13064,13068,12922,13022,13106,13245,Bchron,Yes
EN18218 367,13086,13091,12944,13045,13128,13275,Bchron,Yes
EN18218 368,13107,13114,12966,13068,13149,13300,Bchron,Yes
EN18218 369,13129,13135,12985,13090,13171,13322,Bchron,Yes
EN18218 370,13151,13157,13002,13112,13193,13341,Bchron,Yes
EN18218 371,13173,13177,13021,13133,13215,13358,Bchron,Yes
EN18218 372,13195,13198,13037,13154,13237,13376,Bchron,Yes
EN18218 373,13217,13219,13053,13176,13259,13394,Bchron,Yes
EN18218 374,13239,13239,13068,13197,13280,13409,Bchron,Yes
EN18218 375,13261,13260,13084,13219,13303,13428,Bchron,Yes
EN18218 376,13283,13280,13100,13239,13325,13448,Bchron,Yes
EN18218 377,13304,13301,13118,13260,13348,13469,Bchron,Yes
EN18218 378,13326,13322,13136,13282,13370,13489,Bchron,Yes
EN18218 379,13348,13344,13157,13303,13393,13509,Bchron,Yes
EN18218 380,13371,13367,13182,13325,13415,13529,Bchron,Yes
EN18218 381,13394,13391,13211,13347,13438,13551,Bchron,Yes
EN18218 382,13418,13417,13245,13371,13462,13577,Bchron,Yes
EN18218 383,13445,13446,13293,13399,13487,13611,Bchron,Yes
EN18218 384,13488,13499,13346,13443,13539,13710,Bchron,Yes
EN18218 385,13545,13570,13398,13500,13603,13841,Bchron,Yes
EN18218 386,13598,13628,13440,13550,13655,13977,Bchron,Yes
EN18218 387,13648,13682,13478,13598,13707,14056,Bchron,Yes
EN18218 388,13699,13732,13512,13645,13760,14126,Bchron,Yes
EN18218 389,13750,13780,13545,13691,13813,14177,Bchron,Yes
EN18218 390,13801,13826,13571,13736,13867,14225,Bchron,Yes
EN18218 391,13851,13872,13599,13782,13922,14268,Bchron,Yes
EN18218 392,13900,13917,13627,13826,13977,14310,Bchron,Yes
EN18218 393,13949,13961,13651,13870,14031,14348,Bchron,Yes
EN18218 394,13997,14006,13679,13912,14085,14385,Bchron,Yes
EN18218 395,14043,14050,13708,13955,14139,14422,Bchron,Yes
EN18218 396,14092,14094,13736,13998,14191,14462,Bchron,Yes
EN18218 397,14139,14139,13768,14040,14241,14498,Bchron,Yes
EN18218 398,14185,14184,13800,14083,14293,14540,Bchron,Yes
EN18218 399,14231,14230,13835,14127,14345,14583,Bchron,Yes
EN18218 400,14279,14277,13871,14170,14397,14635,Bchron,Yes
EN18218 401,14328,14326,13919,14216,14451,14687,Bchron,Yes
EN18218 402,14378,14377,13982,14262,14507,14742,Bchron,Yes
EN18218 403,14432,14433,14056,14311,14564,14802,Bchron,Yes
EN18218 404,14490,14496,14133,14369,14627,14866,Bchron,Yes
