measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 165,5628,5633,5525,5600,5657,5764,Bacon,Yes
EN18218 166,5653,5658,5546,5624,5684,5795,Bacon,Yes
EN18218 167,5679,5684,5571,5648,5711,5818,Bacon,Yes
EN18218 168,5704,5709,5593,5673,5738,5846,Bacon,Yes
EN18218 169,5730,5735,5616,5698,5764,5875,Bacon,Yes
EN18218 170,5755,5760,5638,5722,5790,5902,Bacon,Yes
EN18218 171,5781,5786,5661,5748,5816,5929,Bacon,Yes
EN18218 172,5807,5811,5684,5772,5841,5956,Bacon,Yes
EN18218 173,5831,5837,5707,5796,5867,5982,Bacon,Yes
EN18218 174,5857,5863,5732,5822,5894,6008,Bacon,Yes
EN18218 175,5883,5888,5757,5847,5920,6035,Bacon,Yes
EN18218 176,5909,5914,5781,5873,5947,6061,Bacon,Yes
EN18218 177,5934,5939,5805,5898,5972,6089,Bacon,Yes
EN18218 178,5959,5964,5830,5923,5997,6115,Bacon,Yes
EN18218 179,5985,5989,5855,5948,6023,6139,Bacon,Yes
EN18218 180,6011,6015,5880,5973,6049,6164,Bacon,Yes
EN18218 181,6036,6040,5905,5998,6075,6189,Bacon,Yes
EN18218 182,6061,6066,5932,6024,6100,6215,Bacon,Yes
EN18218 183,6086,6092,5957,6050,6127,6243,Bacon,Yes
EN18218 184,6111,6117,5983,6075,6151,6267,Bacon,Yes
EN18218 185,6136,6142,6008,6101,6176,6291,Bacon,Yes
EN18218 186,6161,6168,6036,6127,6201,6317,Bacon,Yes
EN18218 187,6185,6194,6063,6152,6228,6342,Bacon,Yes
EN18218 188,6209,6220,6092,6178,6257,6374,Bacon,Yes
EN18218 189,6241,6250,6117,6207,6286,6403,Bacon,Yes
EN18218 190,6275,6283,6146,6238,6320,6439,Bacon,Yes
EN18218 191,6309,6315,6174,6268,6353,6481,Bacon,Yes
EN18218 192,6341,6349,6202,6300,6386,6517,Bacon,Yes
EN18218 193,6375,6383,6232,6332,6422,6559,Bacon,Yes
EN18218 194,6410,6417,6259,6365,6456,6599,Bacon,Yes
EN18218 195,6444,6451,6290,6397,6494,6641,Bacon,Yes
EN18218 196,6479,6487,6318,6431,6531,6681,Bacon,Yes
EN18218 197,6513,6521,6347,6463,6568,6725,Bacon,Yes
EN18218 198,6548,6555,6375,6496,6604,6765,Bacon,Yes
EN18218 199,6582,6589,6403,6527,6637,6800,Bacon,Yes
EN18218 200,6617,6623,6431,6560,6673,6841,Bacon,Yes
EN18218 201,6650,6657,6461,6592,6709,6880,Bacon,Yes
EN18218 202,6684,6691,6492,6626,6744,6916,Bacon,Yes
EN18218 203,6720,6726,6522,6658,6781,6956,Bacon,Yes
EN18218 204,6754,6761,6554,6693,6816,6996,Bacon,Yes
EN18218 205,6786,6794,6584,6724,6850,7036,Bacon,Yes
EN18218 206,6819,6828,6614,6757,6884,7069,Bacon,Yes
EN18218 207,6854,6862,6645,6790,6922,7111,Bacon,Yes
EN18218 208,6888,6897,6678,6824,6959,7149,Bacon,Yes
EN18218 209,6923,6931,6707,6856,6994,7184,Bacon,Yes
EN18218 210,6956,6965,6738,6887,7030,7222,Bacon,Yes
EN18218 211,6991,7000,6772,6921,7064,7259,Bacon,Yes
EN18218 212,7026,7034,6801,6954,7100,7299,Bacon,Yes
EN18218 213,7060,7068,6836,6986,7134,7336,Bacon,Yes
EN18218 214,7094,7102,6865,7017,7171,7378,Bacon,Yes
EN18218 215,7128,7136,6898,7050,7206,7415,Bacon,Yes
EN18218 216,7164,7171,6929,7082,7242,7450,Bacon,Yes
EN18218 217,7198,7205,6962,7117,7277,7490,Bacon,Yes
EN18218 218,7232,7239,6995,7149,7313,7525,Bacon,Yes
EN18218 219,7268,7273,7027,7182,7348,7563,Bacon,Yes
EN18218 220,7303,7308,7060,7214,7383,7597,Bacon,Yes
EN18218 221,7338,7342,7097,7245,7416,7634,Bacon,Yes
EN18218 222,7376,7379,7132,7278,7454,7676,Bacon,Yes
EN18218 223,7418,7419,7170,7319,7497,7717,Bacon,Yes
EN18218 224,7461,7464,7210,7367,7541,7762,Bacon,Yes
EN18218 225,7506,7511,7249,7416,7591,7809,Bacon,Yes
EN18218 226,7550,7557,7293,7463,7638,7854,Bacon,Yes
EN18218 227,7599,7605,7340,7514,7684,7897,Bacon,Yes
EN18218 228,7648,7653,7382,7565,7732,7948,Bacon,Yes
EN18218 229,7697,7701,7429,7613,7780,7996,Bacon,Yes
EN18218 230,7747,7749,7473,7664,7826,8045,Bacon,Yes
EN18218 231,7794,7797,7519,7713,7875,8091,Bacon,Yes
EN18218 232,7842,7844,7566,7762,7923,8132,Bacon,Yes
EN18218 233,7891,7892,7615,7810,7969,8174,Bacon,Yes
EN18218 234,7939,7939,7663,7860,8017,8218,Bacon,Yes
EN18218 235,7987,7987,7709,7910,8065,8263,Bacon,Yes
EN18218 236,8037,8035,7756,7959,8113,8309,Bacon,Yes
EN18218 237,8085,8084,7808,8008,8163,8355,Bacon,Yes
EN18218 238,8134,8132,7857,8058,8210,8399,Bacon,Yes
EN18218 239,8182,8180,7907,8106,8258,8445,Bacon,Yes
EN18218 240,8232,8228,7957,8155,8305,8486,Bacon,Yes
EN18218 241,8281,8275,8006,8203,8353,8531,Bacon,Yes
EN18218 242,8330,8323,8054,8254,8400,8573,Bacon,Yes
EN18218 243,8378,8371,8102,8302,8448,8615,Bacon,Yes
EN18218 244,8428,8420,8155,8355,8494,8661,Bacon,Yes
EN18218 245,8477,8466,8205,8405,8539,8699,Bacon,Yes
EN18218 246,8527,8514,8256,8456,8585,8739,Bacon,Yes
EN18218 247,8575,8563,8310,8509,8631,8782,Bacon,Yes
EN18218 248,8623,8611,8367,8563,8676,8819,Bacon,Yes
EN18218 249,8671,8658,8419,8617,8722,8858,Bacon,Yes
EN18218 250,8710,8698,8460,8656,8761,8898,Bacon,Yes
EN18218 251,8747,8735,8493,8691,8799,8934,Bacon,Yes
EN18218 252,8782,8771,8528,8726,8834,8970,Bacon,Yes
EN18218 253,8818,8808,8568,8761,8872,9009,Bacon,Yes
EN18218 254,8854,8844,8604,8796,8908,9045,Bacon,Yes
EN18218 255,8888,8880,8643,8831,8943,9079,Bacon,Yes
EN18218 256,8923,8916,8681,8866,8980,9115,Bacon,Yes
EN18218 257,8961,8951,8719,8901,9017,9148,Bacon,Yes
EN18218 258,8996,8987,8759,8937,9050,9180,Bacon,Yes
EN18218 259,9031,9022,8795,8972,9086,9216,Bacon,Yes
EN18218 260,9068,9057,8834,9006,9120,9248,Bacon,Yes
EN18218 261,9103,9093,8868,9044,9156,9284,Bacon,Yes
EN18218 262,9139,9129,8909,9080,9192,9315,Bacon,Yes
EN18218 263,9174,9164,8943,9117,9227,9346,Bacon,Yes
EN18218 264,9210,9200,8984,9154,9263,9376,Bacon,Yes
EN18218 265,9247,9235,9021,9190,9297,9406,Bacon,Yes
EN18218 266,9282,9271,9058,9226,9333,9437,Bacon,Yes
EN18218 267,9319,9306,9097,9263,9368,9466,Bacon,Yes
EN18218 268,9358,9342,9137,9299,9403,9498,Bacon,Yes
EN18218 269,9395,9377,9177,9334,9438,9528,Bacon,Yes
EN18218 270,9432,9412,9212,9372,9472,9554,Bacon,Yes
EN18218 271,9469,9446,9247,9408,9506,9583,Bacon,Yes
EN18218 272,9500,9478,9279,9439,9537,9615,Bacon,Yes
EN18218 273,9529,9509,9314,9472,9567,9650,Bacon,Yes
EN18218 274,9556,9539,9345,9502,9596,9685,Bacon,Yes
EN18218 275,9584,9569,9379,9533,9625,9718,Bacon,Yes
EN18218 276,9613,9600,9408,9562,9655,9751,Bacon,Yes
EN18218 277,9641,9630,9437,9591,9684,9785,Bacon,Yes
EN18218 278,9669,9660,9464,9621,9715,9817,Bacon,Yes
EN18218 279,9699,9690,9498,9651,9745,9850,Bacon,Yes
EN18218 280,9729,9720,9529,9679,9774,9881,Bacon,Yes
EN18218 281,9760,9750,9559,9708,9802,9912,Bacon,Yes
EN18218 282,9789,9780,9590,9738,9832,9939,Bacon,Yes
EN18218 283,9818,9809,9620,9767,9862,9972,Bacon,Yes
EN18218 284,9847,9840,9652,9797,9893,10001,Bacon,Yes
EN18218 285,9878,9870,9682,9828,9924,10031,Bacon,Yes
EN18218 286,9909,9900,9712,9857,9954,10060,Bacon,Yes
EN18218 287,9938,9930,9745,9889,9982,10089,Bacon,Yes
EN18218 288,9968,9960,9778,9918,10012,10117,Bacon,Yes
EN18218 289,9999,9990,9807,9949,10042,10143,Bacon,Yes
EN18218 290,10030,10020,9838,9980,10073,10170,Bacon,Yes
EN18218 291,10061,10050,9872,10011,10104,10195,Bacon,Yes
EN18218 292,10093,10081,9904,10043,10135,10224,Bacon,Yes
EN18218 293,10125,10111,9933,10074,10165,10248,Bacon,Yes
EN18218 294,10158,10142,9963,10103,10196,10281,Bacon,Yes
EN18218 295,10190,10175,9993,10134,10230,10322,Bacon,Yes
EN18218 296,10222,10208,10020,10167,10264,10360,Bacon,Yes
EN18218 297,10254,10242,10048,10200,10298,10399,Bacon,Yes
EN18218 298,10287,10276,10075,10234,10335,10441,Bacon,Yes
EN18218 299,10320,10309,10103,10264,10368,10481,Bacon,Yes
EN18218 300,10354,10343,10131,10296,10405,10523,Bacon,Yes
EN18218 301,10388,10378,10161,10327,10441,10563,Bacon,Yes
